"","phn","pc1","pc2","pc3","pc4","pc5","pc6","pc7","pc8","pc9","pc10","pc11","pc12","pc13","pc14","pc15","pc16","pc17","pc18","pc19","pc20","pfna"
"28","ax",2.225625,-12.07964,-11.53589,-5.895673,-0.6958221,4.033227,3.589533,0.00893383,-2.103313,-1.704027,-2.607511,-1.665867,-2.739027,3.929257,-2.35708,-0.5579104,-2.529884,-0.2614394,1.50424,-2.519363,"A"
"29","pcl",12.5337,-8.926429,-11.06674,7.762949,-1.410464,-0.4505317,1.000598,-0.3022581,-1.634424,-0.7235847,0.7872692,-0.481339,-2.732643,3.91325,0.3375444,0.1460106,-1.832468,3.476111,0.1670524,-1.102216,"P"
"30","p",10.96193,-1.92377,17.14158,2.595601,5.341086,-0.03379726,-3.129906,3.996222,1.922808,-3.804683,2.793309,1.860728,-0.274323,0.01066405,1.527026,-1.351706,0.1964641,0.5293043,-1.159384,0.6018331,"P"
"31","ey",-16.48888,-3.682204,2.520932,-2.663801,-0.09081343,-1.715659,-0.7074954,-1.234867,-2.062729,1.85285,-0.4563228,0.5946165,1.007902,0.06649368,-1.857254,2.50088,-1.53114,-5.917387,0.612116,-0.7238352,"A"
"32","sh",-0.01383194,5.902328,-6.595085,5.362948,-2.012611,1.636906,0.0005114987,0.8526417,1.477245,1.20216,-1.26479,0.3267699,-0.2071788,0.8873932,-0.866893,-2.128104,-0.6528821,3.028255,-1.974547,0.3867896,"F"
"33","en",-0.1807964,4.104685,0.8152672,-2.562312,1.110491,0.9497807,1.574074,-0.609122,0.8308054,-0.9763076,0.2183679,-1.837305,0.185626,-0.2432109,-1.271117,0.9145492,-0.599423,-0.6606475,0.3086675,0.3790239,"N"
"34","tcl",2.047659,4.741424,1.089295,-1.288809,0.778394,0.5082897,1.253077,-0.8282625,0.5634086,-0.03833133,0.05890588,-1.654229,-0.1447417,-0.2892603,-0.4975971,0.7220085,-0.2733957,-0.1063728,-0.1009763,0.2935848,"P"
"35","q",-16.02936,-1.877986,-4.547471,-8.236376,3.937478,0.2797085,2.859293,-1.079807,1.029517,0.807137,-3.074907,-3.021531,2.069505,1.110568,-1.246365,2.072382,0.2016513,-1.942211,-2.425683,-2.543128,"P"
"36","ih",-6.814986,-1.983592,-14.03491,3.175893,2.568668,-0.7346792,4.207411,-4.448089,-4.287779,-0.6517706,-0.5765406,-0.06655151,-2.07997,0.8745452,-0.7520021,-0.7046389,1.970545,1.118383,-5.026559,1.157351,"A"
"37","f",10.89231,6.081869,-5.728647,4.536481,-0.319035,-3.911957,-0.7923421,-2.578911,-1.164049,-1.012605,2.046251,2.063878,0.2392594,-3.130835,-3.322063,-5.664683,2.017617,-0.6737113,-2.228101,-1.52226,"F"
"38","pcl",2.468872,4.290471,12.14849,-2.57068,-2.774522,2.145067,0.1092585,0.2486861,0.3531004,-5.007135,1.635675,2.308763,5.413673,-0.6406432,-0.7621168,1.712433,2.477472,-1.353594,4.25318,3.354606,"P"
"39","p",-5.229115,1.927417,4.664011,-3.793611,-1.190174,-1.487489,-2.126552,3.228451,-0.1779746,-0.9483311,0.4676557,0.2377347,-1.468523,1.960882,-3.955082,2.67765,2.203221,1.638172,1.856504,3.321302,"P"
"40","iy",-5.667751,-0.2977901,-1.520483,-3.328893,0.3125543,-2.898598,-0.1626862,-1.311494,1.337679,-0.1493467,-2.370767,-2.760273,1.002059,-3.427165,-4.13676,0.578659,0.2528651,3.501123,0.5572656,5.06817,"A"
"41","pcl",3.78913,6.713361,-3.21856,-2.213794,-4.537265,-4.647592,3.001903,-3.028988,1.635139,-0.7531086,1.393084,-1.531317,-3.098544,-3.546311,3.996362,-4.436921,0.008905967,3.28065,2.558,-2.099119,"P"
"42","p",2.732643,-1.63385,1.444298,-5.351871,-2.205976,-2.029808,4.890645,4.971781,2.009995,0.9005506,2.995189,-3.674201,-0.786779,-0.7031429,-0.6122463,1.328806,-1.225567,1.094826,-0.9234253,-0.2767933,"P"
"43","el",1.946727,-2.030916,2.034844,-1.861358,0.7633588,-3.366591,5.271022,5.883336,3.15719,1.352106,1.827095,-3.912295,0.8670801,0.03937151,-1.342575,3.454062,0.2631618,1.030837,-3.561417,1.042374,"A"
"44","w",-4.336451,5.139932,6.118018,-0.09342525,8.695496,-2.897602,2.608317,-0.2665832,-3.099317,0.8025702,2.188357,1.513476,1.190848,1.657074,0.2719012,0.4015858,-0.5008045,-3.486408,2.139122,1.750678,"A"
"45","er",-2.834483,-1.210729,-1.161803,-2.909232,5.074672,1.439448,1.872082,-2.438072,-0.3190273,1.291516,5.310992,2.361315,1.180318,-1.435091,-2.590007,-0.4629818,2.426619,0.7050861,2.997664,1.925337,"A"
"46","m",7.025445,1.173774,0.4629197,0.0041916,3.395409,3.827824,-1.34518,0.6394823,5.456285,7.361306,-0.9538375,1.024766,-0.2112592,0.3622197,-2.758071,-1.408506,5.201055,0.2741156,1.023759,-2.022037,"N"
"47","ao",-7.377141,4.475002,6.857541,4.587356,0.7668086,4.570392,-5.776871,-1.382806,-3.634617,1.508213,2.356024,-1.966972,2.543732,1.656403,0.3553808,-1.310808,1.749306,1.0248,0.4426328,0.8658582,"A"
"48","r",-0.2074914,-1.468312,-6.813687,0.5555119,0.2473716,8.421105,2.874363,3.912727,2.358609,-0.7912296,2.230484,-1.502326,0.140726,-2.450732,-0.1151627,1.416558,1.704852,-3.338295,1.694394,1.082131,"A"
"49","dcl",9.042915,4.617307,-3.800718,4.716306,0.3324002,1.669727,-2.359346,4.777489,-3.100347,6.270225,-5.512233,0.3541077,1.213225,-0.1465692,-0.9002386,2.133483,2.509007,0.07629568,1.682126,1.301417,"P"
"50","jh",1.97188,-0.4388454,7.832159,-2.297085,3.933461,4.850795,-0.4019488,-4.972379,2.924668,0.3503776,-3.17429,-1.340361,-0.2815316,0.2258877,1.047925,1.725483,2.956798,-0.09236375,3.260934,-2.140938,"P"
"51","eh",-4.9488,0.8769539,2.572884,0.9762264,-0.378942,6.144429,-5.383175,-1.586051,-2.503879,1.030424,2.465379,0.4842786,-3.105687,0.5235873,0.1949253,0.9690215,-0.7786421,2.011986,-1.046427,-2.570543,"A"
"52","n",4.410379,0.9157238,1.583211,7.536429,-4.488746,-0.4369548,-1.317981,0.05134946,3.269769,-4.618699,-2.968756,3.302786,2.11067,0.5850893,3.077761,1.609313,0.3847799,-1.337248,-1.849985,2.677102,"N"
"53","er",-7.042704,5.948323,7.733187,1.344247,-3.100483,-2.64731,-0.6333466,2.348519,1.841823,-3.204816,-4.062736,0.7927607,-0.8869841,2.464767,0.7273987,0.3267364,2.048801,-0.8320525,0.5872284,2.289323,"A"
"54","ix",2.108561,0.9966906,-9.856035,0.5159972,3.956955,-0.5486569,0.4469251,0.7982097,0.8039416,-3.837918,-3.530694,0.7045882,-5.653745,2.281026,-3.000212,-0.8358666,0.1825928,1.043363,-0.2528053,-0.8433875,"A"
"55","s",12.00149,0.8305394,-2.343202,4.193484,2.316041,0.801789,-0.3421338,-3.714195,-1.776526,-4.551032,-3.893879,0.05354583,0.4142195,-3.514103,1.465909,-1.787393,-1.267841,1.389314,0.2715822,-1.087567,"F"
"56","dh",8.036226,2.145598,7.313303,-6.954668,-1.207735,0.3045079,-5.86712,-2.45695,2.484078,-0.3972928,-1.7744,2.030048,-1.47135,-3.175316,0.7267601,4.886872,0.5238961,-1.469068,-3.715036,-3.685575,"F"
"57","eh",-9.075964,-3.150074,2.408857,4.877702,-4.056986,3.828402,-2.251439,1.421937,-1.848183,-4.492142,-1.243633,-1.555613,0.3660344,0.368346,-0.1957447,-0.6907932,1.774979,-3.239798,-2.937374,1.654869,"A"
"58","r",-3.850333,0.7428822,-3.394445,-1.503071,0.3259809,-4.764568,-4.580494,1.361784,2.983042,-5.963476,-2.836896,0.8426046,-3.17654,-0.03658218,1.48478,1.85047,-2.13684,-0.4882715,-2.440008,3.375373,"A"
"59","dcl",1.762406,9.04419,2.283384,3.044716,-1.687744,-0.1745778,-2.308319,1.234851,0.09979858,-4.260294,-4.324464,6.714826,-4.191348,0.5571506,2.92777,2.059647,0.9816592,1.713929,-0.5747026,1.323158,"P"
"60","b",-0.8563707,-2.552694,1.534295,-4.570508,1.669019,2.024997,-2.427685,2.012375,0.3260889,-5.678356,-4.013799,0.4126717,-2.166025,-0.5778092,-1.850377,-0.9626387,0.8450384,-2.472632,1.143631,-2.081068,"P"
"61","iy",-0.5273109,-4.903101,-1.397523,-1.176694,1.072128,2.048886,-1.755471,0.8275921,-1.189943,-4.074508,-4.477033,-0.7442086,-2.290171,-0.7491977,-1.789083,1.509719,1.56339,-1.196647,0.2367837,-0.4890253,"A"
"62","n",5.801291,1.855162,-1.247646,1.143234,-1.130623,0.6628301,-3.779946,-2.530769,-1.837788,-0.1505478,-5.056847,1.523527,-5.123419,-2.754253,0.4964278,0.4938884,0.4295402,-2.641289,-1.238742,-3.16344,"N"
"63","ow",-4.595824,-1.680174,2.726494,2.756151,-2.053202,3.67198,-3.422224,-0.8134439,1.081762,-2.344086,-3.195427,-1.824246,-2.219123,-1.403068,2.312845,0.9678428,0.8325989,-2.995574,-2.626894,-1.401729,"A"
"64","n",3.177981,2.946988,-1.059168,2.511416,-0.7329362,2.181405,-3.322728,-1.078069,-2.146558,-1.666174,-4.710865,-0.004459024,-3.305186,-0.6110137,2.922367,4.397179,0.3510619,-1.893043,-0.1268767,-1.153634,"N"
"65","iy",-1.547273,-0.9303433,4.526599,5.560661,-3.215725,3.513953,-3.041961,-0.1004384,-0.9419005,-5.93445,-1.207996,0.7261303,0.3578923,-0.3323384,3.307154,-0.6495196,1.46138,-3.693451,-1.365758,1.84351,"A"
"66","dcl",2.640235,0.147272,-10.44211,0.1103315,0.1776468,-0.2503012,-0.1110309,0.1250969,-0.1991796,-3.282287,-6.520478,1.811662,-2.629406,5.428835,0.4729683,-1.440818,0.07022837,2.980464,-1.322999,2.732447,"P"
"67","d",10.48333,4.724992,6.725439,0.6529806,-2.76127,-0.1519379,2.864408,-1.096479,-3.319377,-4.861613,1.642443,0.7996407,0.1955379,0.9327588,-0.4696954,0.1822246,1.30095,-1.456142,-0.4843468,0.2767935,"P"
"68","f",9.423773,6.199527,8.14316,-1.227561,-2.768357,-0.06736505,2.185715,-0.0345867,-2.745696,-4.227694,2.119887,1.170217,-0.2891368,1.689327,-1.064799,0.3813298,1.179253,-0.9480093,-0.6026108,0.3872625,"F"
"69","axr",-4.212724,-7.507586,-0.6807301,-1.301711,-2.186602,-1.945273,0.1766142,2.127222,-3.862696,-4.793503,-2.717405,1.579881,2.680527,1.155256,-1.264199,-0.7801639,-0.1647836,2.079994,-0.4812876,1.129192,"A"
"70","w",3.69618,-0.7144832,-2.610167,-0.3765078,-2.809686,-4.601622,-0.8697385,-0.7038659,-3.274363,-4.446833,-1.888071,7.264328,0.4963579,-0.3236125,-0.8114903,-0.1484172,1.138032,-2.388855,-2.584614,-0.3415962,"A"
"71","eh",-2.91688,-2.538388,4.122025,6.745521,-4.101365,-4.031906,-0.1553715,1.338639,0.3048668,-6.929252,-0.8464431,5.224778,0.7028653,-0.2046665,-0.9021577,-3.962764,2.237029,-0.8987302,0.1741194,1.582094,"A"
"72","l",-11.66251,5.908022,-6.225789,-3.961382,2.084097,-3.178691,-0.3616108,2.46005,-4.216106,-4.153845,-2.906646,-0.1622845,-2.722959,-3.092997,0.5912118,-4.96965,-0.9532264,0.01257646,3.972547,-1.245894,"A"
"73","f",10.71669,-1.035582,-7.254946,3.332571,0.502978,-0.5912922,2.204332,-4.642888,-0.9489582,-4.486773,-2.047598,-0.1331731,-1.931814,-0.8612248,0.5473219,-3.626664,-2.119153,1.435227,-0.9795115,-0.5024537,"F"
"74","eh",-2.082593,-10.91401,3.833472,-2.390399,-3.099661,-0.06928617,0.1759853,0.8609906,-1.458977,-2.528334,-1.645028,0.6618311,1.942094,-0.2356139,0.3285582,-0.6382261,-0.9337612,-3.024385,-0.4809225,-1.35802,"A"
"75","r",-10.45199,-0.05314597,0.1538198,3.494259,-0.1833415,-2.965952,-0.6833202,-0.2193977,-0.1215043,-3.428017,-1.074988,2.053994,0.1748571,-0.6475174,-0.320271,-0.4394902,-0.3154949,-1.834829,1.74509,-0.8097151,"A"
"76","d",-21.92519,-7.703728,-0.1131206,-0.2714484,-3.148236,7.721598,0.177863,5.099617,-4.356261,5.367915,9.03189,4.365694,1.485388,8.356309,6.658935,-5.58035,-6.656827,8.888261,0.8246465,4.525827,"P"
"77","ow",-17.97494,-4.237093,-12.67304,3.680351,0.7580861,-4.076838,-4.092722,8.389088,2.653332,8.026953,12.4647,3.901023,6.013713,5.730666,5.276955,-5.047019,-2.551266,5.792872,-0.272387,5.482277,"A"
"78","n",12.90797,-5.955637,3.010415,-2.45926,7.777175,0.5085342,4.714206,-0.548452,3.047662,15.44486,0.0481396,9.214396,5.736302,-1.334614,-4.404087,-7.914861,9.970508,-0.001329659,1.769079,1.779721,"N"
"79","ae",-5.665266,-7.456455,9.440439,4.900934,5.396522,5.05974,-0.6593794,-4.263091,-0.473991,7.339557,5.643105,4.592029,4.035237,-0.489874,-5.210143,-4.068651,0.154545,10.06259,3.079314,3.818548,"A"
"80","s",8.05178,9.784848,-3.705707,-2.807649,0.7151213,2.393844,2.447073,3.80089,5.231974,-1.421893,-0.3671997,-3.208155,3.180995,3.452496,5.043965,-2.596725,4.259578,-0.6830447,1.510673,3.410882,"F"
"81","kcl",2.535935,7.326415,10.20006,-2.888604,6.59356,4.282933,0.4841606,0.7582484,-5.458551,3.645263,-3.199409,0.7773941,5.866227,-3.203126,-0.3404123,0.4570469,-2.370247,1.472847,5.390129,0.7394774,"P"
"82","m",1.448232,-7.865235,-1.67025,-3.766397,7.068039,3.203339,-6.051193,-4.849117,5.989258,-1.265404,2.285854,5.758432,-4.411088,10.43465,-1.317097,-1.796816,2.189731,5.132366,-3.482264,-0.9719225,"N"
"83","ix",-3.484783,2.978403,3.402811,13.39099,-7.942905,10.12607,-2.495037,2.916961,-7.039518,0.6526512,6.194017,1.157456,3.498613,0.6371184,0.2476278,-2.352353,2.59309,-3.140489,-1.965991,-2.215035,"A"
"84","tcl",-14.85164,12.81067,0.6092513,-4.366669,-3.058683,0.7397246,1.335942,-2.579626,13.10827,-0.5602726,-7.085108,-3.21116,5.26686,-6.008018,2.13164,-1.8237,0.2214301,-1.692329,0.7316464,1.472681,"P"
"85","t",-17.67189,5.393679,-6.630601,-7.117544,-2.526668,9.723436,6.510997,3.449582,-4.351192,-4.371252,-7.368635,-3.887837,0.6322129,0.9243592,2.974521,-5.54054,-0.09666192,-3.532597,5.256687,-1.39451,"P"
"86","ix",-11.02259,2.330561,-13.55318,-3.5337,-0.9278675,7.68003,2.985456,8.123912,-9.774742,-0.6566952,-5.129521,0.2696035,-5.906164,6.940976,-1.784932,-1.229217,2.75972,-1.421108,3.337738,-0.8682049,"A"
"87","kcl",20.51,-0.6444235,-13.61158,1.334343,7.230053,-4.365387,-6.268427,-1.377139,1.031521,-4.213571,-4.851541,1.358157,-0.6198019,-8.310077,3.040315,1.705346,-4.234035,7.526523,0.6992033,-0.7499075,"P"
"88","k",24.66096,-5.712226,8.960945,-6.18499,-4.613813,0.5206821,-3.813924,-6.7816,-6.88188,3.726927,-2.597786,-5.038237,-3.450554,-0.4505125,1.004905,4.903559,0.3228008,-5.640478,-6.182162,-8.209484,"P"
"89","eh",-15.58016,-18.21931,-1.754627,7.499292,-1.364643,-2.652519,-12.56768,3.880809,0.1581498,-3.478786,-2.156104,-7.937535,-0.8356853,-1.726587,-0.4554329,0.3986723,-5.012992,-5.160591,-6.639205,-5.055594,"A"
"90","r",-9.811969,0.2582494,0.3340908,7.534413,-6.592476,-1.50088,-0.4962589,0.6411873,3.983219,-10.79485,-1.64216,6.704431,1.150363,-0.5726563,3.37901,8.107913,-2.240274,-8.889594,-1.062287,3.584134,"A"
"91","iy",-2.775443,4.418649,-5.396193,0.8341604,-3.227983,-1.22385,-2.826506,2.764985,0.7866395,-8.788621,-11.4841,8.511373,-1.292806,5.965926,2.652522,-1.164522,-3.244628,-0.5846317,2.27485,4.210985,"A"
"92","ix",6.117406,-0.9412105,-4.989233,0.1906011,-5.567554,-4.08629,2.987086,-2.838191,-7.759802,-8.530134,-7.726788,5.974708,-0.8480956,-0.769008,1.603913,-4.227722,1.691014,-1.577551,-0.6091749,1.782879,"A"
"93","n",12.81098,-1.66995,0.1273134,-2.572069,-4.146659,-3.909682,-1.566451,-1.687398,-1.010886,-4.038708,-7.619751,6.160442,-5.656245,-4.967849,0.1376755,-5.905197,-1.970091,-1.212318,-3.037305,-3.22919,"N"
"94","oy",5.848314,-9.460349,1.450035,-1.475728,-3.211262,-3.788701,-5.221324,-1.994903,-5.339556,-5.91276,-7.080557,-1.110045,-2.70792,-1.664812,2.770717,-6.588735,-5.10683,2.35192,-3.733714,-4.892721,"A"
"95","l",-3.984152,7.602652,4.964043,8.248111,-5.102889,-2.72829,4.487809,-0.369652,2.353177,-9.684652,1.862471,12.40156,-4.524958,1.10561,-3.224326,-6.288135,2.094424,-1.930603,2.551908,5.671733,"A"
"96","iy",-6.239717,6.550781,-5.807928,-3.658161,-2.252637,-1.55977,0.9727311,3.803526,-5.090224,-4.6412,-10.34445,4.282079,-3.657977,2.92547,-4.649362,-9.655016,-2.324349,3.456437,4.868475,-1.615697,"A"
"97","r",21.1612,-3.577331,2.581519,-2.008615,-4.043841,-2.960009,-3.65475,-0.3028167,-2.811105,-4.179792,-1.409253,8.661145,-6.019191,-5.65347,0.3020616,-1.207348,-2.414851,-0.8130955,-7.949659,-5.321537,"A"
"98","ae",-4.628898,-18.89887,0.6759854,13.53161,10.69708,-5.648009,-7.258466,-2.021738,6.712797,1.698199,-3.525779,2.768434,-12.77148,-6.423832,-5.356865,2.930902,2.266125,-7.337188,8.161366,-5.087535,"A"
"99","gcl",22.91519,1.618053,-11.57075,7.202868,-10.7278,0.5974401,1.723637,0.9354839,-5.431384,8.562259,-7.561634,-5.635025,3.990435,0.00368228,8.299556,4.787532,1.359158,-0.1779465,0.3774953,-0.162306,"P"
"100","g",21.32514,-0.633492,8.787311,-15.90345,-3.469011,-4.880257,0.354591,-0.6894801,1.061574,4.75635,-5.360443,-0.8653086,-3.657215,-4.215045,3.669324,0.8950734,-3.420622,1.770534,-3.968335,0.7612615,"P"
"101","l",-2.682698,-19.37208,7.564635,1.66514,4.42593,1.407686,2.391164,1.501473,4.315347,-2.2386,0.4915736,-4.344797,-0.6788854,4.971613,0.4968772,-2.135859,-2.003869,-0.9691647,-2.69827,-4.03756,"A"
"102","ay",-19.89639,4.913854,7.170343,9.946287,5.58548,-7.756302,-4.147273,1.185275,-0.08172112,-1.900784,7.866666,-1.271162,1.350425,-3.306706,1.558877,2.344233,-1.814697,-3.075914,0.4498263,0.4277963,"A"
"103","kcl",10.17867,8.304983,-14.68376,-0.4501893,1.087481,3.866876,-1.384147,1.487797,3.429009,-1.054625,-0.8603937,2.552684,-2.526789,6.100329,-2.329532,0.8651966,-2.846722,3.619763,1.060287,0.1274722,"P"
"104","dh",12.48006,-9.290442,2.195731,-13.03158,-0.625393,-2.753984,-2.391879,-0.5199604,0.3829149,4.063366,-1.660158,1.93226,-0.4461819,-6.25615,3.135577,-0.940433,-2.540031,-0.2646975,-0.9722816,-2.006441,"F"
"105","ae",3.535862,-23.21551,-0.7889336,-4.660168,-2.770667,-2.511887,-0.2316034,0.3590863,-1.89389,1.199791,-1.259768,2.418725,1.930331,1.246991,-1.008946,-1.564694,-0.2198231,-1.105607,-2.474762,-1.388893,"A"
"106","tcl",0.4685063,8.635559,-9.929246,6.066177,0.9241807,-0.661917,2.942946,-1.914857,-1.017608,-0.8797028,0.7988268,-0.5132794,-2.786788,1.012101,-2.481191,-0.1478945,0.8139085,-1.70844,-1.847174,0.2336087,"P"
"107","dh",9.626731,-13.50406,-2.510755,-0.1480941,1.650155,4.038752,-3.828042,0.7242407,-3.885112,-1.526646,-0.1307905,4.322183,0.06808409,-0.07008522,2.741083,0.7168727,-3.209068,-0.1813591,2.190634,-0.7092146,"F"
"108","axr",10.86808,-12.21109,-2.421651,2.15727,-1.980678,0.2291139,-7.229385,4.553186,-3.194726,-0.6663232,4.134568,9.248165,2.611091,0.6426459,3.941188,2.24997,-0.4903117,-1.331417,6.672743,-3.407248,"A"
"109","r",-0.3006995,-13.34545,8.669262,9.303313,-1.649257,2.430219,-2.727244,4.692866,11.07322,-2.335756,1.357741,12.43838,6.798024,1.094592,0.4598015,6.404617,2.68254,-2.335563,4.7043,-1.565105,"A"
"110","eh",-23.11779,1.906024,3.982178,8.15431,-2.889511,1.623853,-4.840091,2.523033,-3.636184,6.186519,-2.348243,2.805853,2.085226,2.36426,0.2530296,-1.218236,-1.924368,-2.435343,4.215313,1.16124,"A"
"111","kcl",18.139,5.836467,3.954884,13.28106,2.94145,2.124805,-0.7240966,3.499532,4.394154,1.536914,-0.8851484,-2.971883,2.015364,-3.056813,1.95616,-4.701343,2.08137,2.469564,-3.421386,-1.928969,"P"
